Radars;Date;pdssr;pdpsr;pda;pdc;iva;ivc;fc;ft;mt;rng;azim;stat
GEEK;17/09/2020 00:00;93,61;78,85;99,12;99,26;0;0;0;0;0,3;50,4;0,01;
GEMB;17/09/2020 00:00;95,16;82,72;98,22;98,71;0,66;0,47;1,04;0,01;0,55;128,2;0,13;
EBFS;17/09/2020 00:00;89,49;81,14;99,86;99,75;0;0;0;0;0;27,7;0,04;
EBSH;17/09/2020 00:00;91,54;76,1;99,72;99,58;0;0;0;0;0,01;10,9;0,06;
LARCE;17/09/2020 00:00;;34,63;;;;;;;;33;-0,02;
S723E;18/09/2020 00:00;93,06;83,45;99,89;99,81;0;0,02;0,02;0;74,18;44,5;-0,04;
S723E;19/09/2020 00:00;92,71;80,96;99,81;99,22;0,02;0,01;0,03;0;74,1;37;-0,03;
S723E;20/09/2020 00:00;93,09;81,85;99,82;99,21;0;0,01;0,01;0;74,1;37,3;-0,03;
EBBE;18/09/2020 00:00;72;61,15;92,56;92,27;0,14;0,14;0,27;0,06;0,74;150,1;-0,19;
EBBE;19/09/2020 00:00;64,88;54,31;92,04;90,67;0,06;0,06;0,12;0,18;0,81;114,3;-0,19;
EBBE;20/09/2020 00:00;67,65;58,41;93,08;92,54;0,13;0,08;0,19;0,05;0,69;123,1;-0,2;
EBBL;18/09/2020 00:00;;13,56;;;;;;;;50,1;-0,06;geen SSR Data
EBBL;19/09/2020 00:00;;9,16;;;;;;;;75,2;-0,06;geen SSR Data
EBBL;20/09/2020 00:00;;10,64;;;;;;;;59,2;-0,06;geen SSR Data
GEEK;18/09/2020 00:00;91,29;71,97;99,59;99,35;0,01;0,02;0,03;0;0,1;69,2;0;
GEEK;19/09/2020 00:00;92,16;54,74;99,59;98,11;0;0,01;0,01;0;0,31;87,4;0,02;
GEEK;20/09/2020 00:00;76,53;57,49;89,55;98,46;0;0,01;0,01;0;0,13;64,8;-0,02;
GEMB;18/09/2020 00:00;90,38;82,93;98,16;98,54;0,62;0,47;0,98;0,01;0,98;56;0,12;
GEMB;19/09/2020 00:00;89,27;78,24;97,34;97,95;0,81;0,54;1,24;0,01;1,45;104,7;0,13;
GEMB;20/09/2020 00:00;87,48;77,16;96,37;96,8;1,13;0,79;1,78;0,05;1,39;86,8;0,13;
EBFS;18/09/2020 00:00;84,29;71,78;99,88;99,61;0,01;0,01;0,01;0;46,52;25,1;0,04;
EBFS;19/09/2020 00:00;82,68;70,87;99,87;99,06;0,02;0;0,02;0;46,68;25,7;0,06;
EBFS;20/09/2020 00:00;84,39;70,52;99,85;99,78;0,03;0,01;0,03;0;46,48;21,1;0,05;
EBSH;18/09/2020 00:00;88,36;73,14;99,67;99,35;0,01;0,01;0,02;0;0;6,5;0,05;
EBSH;19/09/2020 00:00;87,12;69,07;99,74;98,67;0;0;0;0;0;-0,1;0,06;
EBSH;20/09/2020 00:00;87,99;68,77;99,71;99,49;0,02;0,01;0,03;0;0;-3,7;0,06;
LARCE;18/09/2020 00:00;;31,74;;;;;;;;1,7;-0,02;
LARCE;19/09/2020 00:00;;22,72;;;;;;;;-10,6;0;
LARCE;20/09/2020 00:00;;27,07;;;;;;;;14;-0,02;
S723E;21/09/2020 00:00;;;;;;;;;;;;geen data
EBBE;21/09/2020 00:00;78,48;66,85;94,76;94,47;0,04;0,07;0,11;0,02;0,84;120,4;-0,27;
EBBL;21/09/2020 00:00;;16,49;;;;;;;;77,3;0,04;geen SSR data
GEEK;21/09/2020 00:00;97,26;74,86;98,85;99,86;0,02;0,02;0,03;0;0,14;87,6;-0,1;
GEMB;21/09/2020 00:00;;;;;;;;;;;;geen data
EBFS;21/09/2020 00:00;;;;;;;;;;;;geen data
EBSH;21/09/2020 00:00;;;;;;;;;;;;geen data
LARCE;21/09/2020 00:00;;35,42;;;;;;;;12;-0,08;
S723E;22/09/2020 00:00;;;;;;;;;;;;geen data
EBBE;22/09/2020 00:00;;;;;;;;;;;;geen data
EBBL;22/09/2020 00:00;;;;;;;;;;;;geen data
GEEK;22/09/2020 00:00;;;;;;;;;;;;geen data
GEMB;22/09/2020 00:00;;;;;;;;;;;;geen data
EBFS;22/09/2020 00:00;;;;;;;;;;;;geen data
EBSH;22/09/2020 00:00;;;;;;;;;;;;geen data
LARCE;22/09/2020 00:00;;42,1;;;;;;;;70,6;2,76;
S723E;23/09/2020 00:00;;;;;;;;;;;;geen data
EBBE;23/09/2020 00:00;;;;;;;;;;;;geen data
EBBL;23/09/2020 00:00;;;;;;;;;;;;geen data
GEEK;23/09/2020 00:00;;;;;;;;;;;;geen data
GEMB;23/09/2020 00:00;;;;;;;;;;;;geen data
EBFS;23/09/2020 00:00;;;;;;;;;;;;geen data
EBSH;23/09/2020 00:00;;;;;;;;;;;;geen data
EBBE;07/10/2020 00:00;75,87;66,39;92,3;91,59;0,09;0,13;0,21;0,07;0,87;126;-0,18;
EBBL;07/10/2020 00:00;;17,13;;;;;;;;8,6;-0,1;geen SSR data
GEEK;07/10/2020 00:00;;;;;;;;;;;;onderhoud geen data
GEMB;07/10/2020 00:00;95,01;86,34;97,91;98;0,73;0,51;1,1;0,04;0,87;70,6;0,18;
EBFS;07/10/2020 00:00;87,56;74,58;99,89;99,84;0;0;0;0;0,02;-2;0,03;
EBSH;07/10/2020 00:00;93,82;82,58;99,68;99,66;0;0,01;0,01;0;0,01;-27,1;0,09;
LARCE;07/10/2020 00:00;;40,56;;;;;;;;13,9;-0,04;
S723E;08/10/2020 00:00;95,5;87,59;99,95;99,92;0;0;0;0;0,49;37;-0,04;
EBBE;08/10/2020 00:00;80,79;75,42;97,64;96,97;0,06;0,1;0,16;0,15;0,59;120;-0,21;
EBBL;08/10/2020 00:00;;20,17;;;;;;;;38,7;-0,03;geen SSR data
GEEK;08/10/2020 00:00;;;;;;;;;;;;onderhoud geen data
GEMB;08/10/2020 00:00;97,01;90,18;98,13;98,45;0,84;0,52;1,17;0,03;0,24;90,1;0,17;
EBFS;08/10/2020 00:00;90,18;86,35;99,89;99,73;0;0;0;0;0,01;14,2;0,02;
EBSH;08/10/2020 00:00;95,13;86,73;99,67;99,52;0;0,01;0,01;0;0,05;3,8;0,06;
LARCE;08/10/2020 00:00;;58,68;;;;;;;;28;-0,03;
S723E;09/10/2020 00:00;93,97;83,66;99,89;99,38;0;0,02;0;0,07;0,07;22,8;-0,03;
S723E;10/10/2020 00:00;94,27;84,66;99,89;99,88;0,03;0;0,04;0;0,03;5,4;-0,03;
S723E;11/10/2020 00:00;94,93;84,99;99,94;99,41;0;0;0;0;0,08;10,2;-0,03;
EBBE;09/10/2020 00:00;72,2;58,8;92,6;91,03;0,06;0,1;0,17;0,05;0,86;117,2;-0,18;
EBBE;10/10/2020 00:00;75,01;62,05;94,48;93,08;0,14;0,05;0,19;0,03;1,32;91,4;-0,19;
EBBE;11/10/2020 00:00;71,06;58,95;93,94;90,53;0,06;0,11;0,17;0,07;1,06;83,2;-0,2;
EBBL;09/10/2020 00:00;;13,65;;;;;;;;-15,5;-0,04;geen SSR data
EBBL;10/10/2020 00:00;;13,47;;;;;;;;-26,9;-0,02;geen SSR data
EBBL;11/10/2020 00:00;;14,28;;;;;;;;-26,7;-0,02;geen SSR data
GEEK;09/10/2020 00:00;96,98;83,45;99,48;99,66;0,01;0,01;0,02;0;0,07;19,2;0,01;
GEEK;10/10/2020 00:00;95,81;69,35;99,56;99,05;0,03;0;0,04;0;0,23;13,6;0,01;
GEEK;11/10/2020 00:00;97,11;64,81;99,69;99,02;0,02;0,01;0,02;0,04;0,11;6,5;-0,01;
GEMB;09/10/2020 00:00;95,6;85,22;98,34;98,37;0,63;0,42;0,96;0,03;0,84;64,2;0,16;
GEMB;10/10/2020 00:00;94,39;83,77;98,28;98,68;0,67;0,43;0,99;0,05;0,66;48,2;0,15;
GEMB;11/10/2020 00:00;94,12;79,29;98,32;98,62;0,69;0,42;1,03;0,04;1,25;51,8;0,14;
EBFS;09/10/2020 00:00;;;;;;;;;;;;geen data
EBFS;10/10/2020 00:00;;;;;;;;;;;;geen data
EBFS;11/10/2020 00:00;;;;;;;;;;;;geen data
EBSH;09/10/2020 00:00;90,77;75,23;99,71;99,36;0;0;0;0;0,01;-18,5;0,07;
EBSH;10/10/2020 00:00;90,92;76,72;99,71;99,39;0,03;0;0,03;0;0,02;-29,6;0,1;
EBSH;11/10/2020 00:00;90,68;77,74;99,73;99,01;0;0;0,01;0;0;-30,3;0,09;
LARCE;09/10/2020 00:00;;29,84;;;;;;;;-9,9;-0,02;
LARCE;10/10/2020 00:00;;31,09;;;;;;;;-34,6;-0,03;
S723E;12/10/2020 00:00;94,73;85,57;99,92;99,57;0;0;0;0;0,13;19,4;-0,03;
S723E;13/10/2020 00:00;91,92;80,16;99,9;99,92;0;0,01;0,01;0;0,31;2,7;-0,03;
S723E;14/10/2020 00:00;93,21;81,69;99,87;99,56;0,01;0;0,02;0;0,18;12,2;-0,03;
EBBE;12/10/2020 00:00;77,39;64,89;96,72;93,99;0,05;0,05;0,1;0,05;0,55;88,1;-0,18;
EBBE;13/10/2020 00:00;71,63;59,04;97,48;97,08;0,07;0,11;0,17;0,09;0,75;91,2;-0,17;
EBBE;14/10/2020 00:00;75,11;62,46;94,68;93,99;0,08;0,13;0,2;0,05;0,99;104,6;-0,18;
EBBL;14/10/2020 00:00;;14,79;;;;;;;;-6,8;-0,01;geen SSR data
EBBL;12/10/2020 00:00;;14,55;;;;;;;;-19,5;-0,02;geen SSR data
EBBL;13/10/2020 00:00;;10,27;;;;;;;;-13,8;-0,03;geen SSR data
GEEK;12/10/2020 00:00;98,23;79,2;99,73;99,11;0;0,01;0,01;0;0,24;11,5;0,01;
GEEK;13/10/2020 00:00;95,15;69,85;99,7;99,21;0;0,03;0,03;0;0,26;23,5;-0,01;
GEEK;14/10/2020 00:00;95,18;73,61;99,74;98,98;0,02;0,01;0,02;0;0,23;34,3;0;
GEMB;12/10/2020 00:00;95,91;84,76;98,58;98,88;0,58;0,39;0,86;0,03;1,04;67;0,14;
GEMB;13/10/2020 00:00;93,97;81,54;97,78;98,28;0,85;0,38;1,12;0,02;0,89;61,8;0,12;
GEMB;14/10/2020 00:00;95,17;85,52;98,16;98,51;0,66;0,4;0,98;0,02;0,75;42,2;0,16;
EBFS;14/10/2020 00:00;88,55;76,33;99,87;99,59;0,02;0;0,02;0;0;-9,5;0;
EBFS;12/10/2020 00:00;91,09;79,56;99,92;99,06;0;0;0;0;0,01;-8,6;0;
EBFS;13/10/2020 00:00;84,75;78,95;99,91;99,72;0;0;0;0;0;-26,6;0;
EBSH;12/10/2020 00:00;;72,85;;;;;;;;-32,3;0,1;geen ssr data combiner af
EBSH;13/10/2020 00:00;88,96;70,64;99,75;99,59;0;0;0;0;0,01;-59;0,05;
EBSH;14/10/2020 00:00;90,53;71,42;99,72;98,87;0,02;0;0,02;0;0,03;-44,8;0,06;
LARCE;11/10/2020 00:00;;36,4;;;;;;;;-20,1;-0,01;
LARCE;12/10/2020 00:00;;38,19;;;;;;;;-18,9;-0,01;
LARCE;13/10/2020 00:00;;35,77;;;;;;;;-36;-0,02;
LARCE;14/10/2020 00:00;;35,07;;;;;;;;-27,1;-0,03;
S723E;15/10/2020 00:00;93,58;81,75;99,89;99,86;0;0;0;0;0,31;18,9;-0,04;
EBBE;15/10/2020 00:00;72,12;61,46;95,21;94,69;0,06;0,16;0,21;0,09;0,84;81,1;-0,19;
EBBL;15/10/2020 00:00;;15,8;;;;;;;;-6,3;-0,04;geen SSR data
GEEK;15/10/2020 00:00;97,1;85,38;98,94;99,94;0,02;0,02;0,04;0;0,22;12,7;0,01;
GEMB;15/10/2020 00:00;95,25;89,1;97,47;97,93;0,93;0,54;1,31;0,02;0,58;85,8;0,14;
EBFS;15/10/2020 00:00;88,36;78,72;99,81;99,87;0,04;0;0,04;0;0;-5;0;
EBSH;15/10/2020 00:00;92,49;77,74;99,68;99,72;0,04;0,03;0,05;0;0;-32,7;0,05;
LARCE;15/10/2020 00:00;;40,58;;;;;;;;-20,9;-0,03;
S723E;16/10/2020 00:00;92,84;82,05;99,89;99,57;0;0,01;0,02;0;0,06;11,6;-0,04;
S723E;17/10/2020 00:00;94;82,26;99,88;99,56;0;0;0;0;0,06;20,6;-0,04;
S723E;18/10/2020 00:00;95,65;86,4;99,94;99,74;0;0,01;0,01;0;0,05;27,8;-0,04;
